Month,Year,Rainfall,WPI,Variety
9,2004,131.5,66.9,Khorasan
10,2004,95,66.1,Emmer
11,2004,17.9,67.2,Khorasan
12,2004,2.8,68.9,Durum
1,2005,28.1,67.5,Durum
2,2005,41.8,67.3,Durum
3,2005,42.5,68.2,Durum
4,2005,37.7,70.6,Durum
5,2005,46.1,69.1,Durum
6,2005,143.2,70.2,Durum
7,2005,334.1,71.9,Durum
8,2005,190.1,73.1,Durum
9,2005,206.9,75.5,Durum
10,2005,99.3,72.7,Khorasan
11,2005,27.2,70.6,Khorasan
12,2005,11.2,71.1,Khorasan
1,2006,17.7,73.4,Durum
2,2006,11.9,75.1,Khorasan
3,2006,35.6,76.9,Einkorn
4,2006,32.7,74.1,Khorasan
5,2006,75,74.9,Durum
6,2006,141.8,75.5,Emmer
7,2006,287.6,73.6,Durum
8,2006,281.3,71.9,Durum
9,2006,178.6,72.1,Durum
10,2006,51.8,75.8,Einkorn
11,2006,34.6,76.1,Khorasan
12,2006,13.1,79.2,Durum
1,2007,1.7,78.5,Khorasan
2,2007,36.7,79.1,Einkorn
3,2007,35.2,77.6,Einkorn
4,2007,30.6,75.2,Einkorn
5,2007,46.8,74.9,Einkorn
6,2007,192.5,76.8,Einkorn
7,2007,286.2,77.9,Einkorn
8,2007,257.4,76.4,Khorasan
9,2007,206.8,75.3,Emmer
10,2007,55.7,78.1,Khorasan
11,2007,14.4,78,Emmer
12,2007,15.3,79.2,Khorasan
1,2008,18.4,82.6,Einkorn
2,2008,19.3,81.2,Einkorn
3,2008,41.2,83.4,Durum
4,2008,29.5,82.9,Durum
5,2008,43.7,80.6,Durum
6,2008,202,81.2,Durum
7,2008,245,81.8,Durum
8,2008,265.8,80.1,Durum
9,2008,165.1,83.9,Durum
10,2008,51.6,84.5,Emmer
11,2008,25.5,85,Einkorn
12,2008,11,87.6,Einkorn
1,2009,12,89.4,Emmer
2,2009,12,88.6,Khorasan
3,2009,14.2,85.6,Emmer
4,2009,25.1,85.9,Khorasan
5,2009,56,84.1,Durum
6,2009,85.7,83.9,Khorasan
7,2009,280.7,87.6,Khorasan
8,2009,192.5,88.3,Durum
9,2009,139.4,85.5,Durum
10,2009,71.4,82.9,Durum
11,2009,53.7,84.3,Durum
12,2009,11.1,85.9,Durum
1,2010,7.5,98.5,Durum
2,2010,17,99.4,Durum
3,2010,14,97.6,Khorasan
4,2010,39,92.1,Khorasan
5,2010,73.8,95.2,Emmer
6,2010,138.1,93.6,Emmer
7,2010,300.7,94.8,Khorasan
8,2010,274.7,96.5,Khorasan
9,2010,197.7,98.4,Einkorn
10,2010,69,95.3,Khorasan
11,2010,61.4,97.6,Khorasan
12,2010,22.7,98.7,Emmer
1,2011,6.8,107.6,Khorasan
2,2011,25.8,109.4,Khorasan
3,2011,22.4,108.9,Durum
4,2011,41.1,101.4,Durum
5,2011,53.1,102.7,Durum
6,2011,183.5,100.3,Durum
7,2011,246,102.9,Durum
8,2011,284.9,106.2,Durum
9,2011,186.9,104.4,Einkorn
10,2011,38.1,107.1,Khorasan
11,2011,20.1,108.5,Durum
12,2011,7.6,107.3,Khorasan
1,2012,26.5,111.1,Einkorn
2,2012,12.7,113.7,Khorasan
3,2012,11.3,114.1,Durum
4,2012,47.5,104.6,Emmer
5,2012,31.7,105.4,Einkorn
6,2012,117.8,104.4,Emmer
7,2012,250.2,105.8,Emmer
8,2012,262.4,116,Einkorn
9,2012,193.5,119.4,Emmer
10,2012,58.7,117.4,Emmer
11,2012,30.7,120.7,Khorasan
12,2012,11.7,121.7,Durum
1,2013,11.3,121.6,Khorasan
2,2013,40.1,123.6,Einkorn
3,2013,15.7,122.8,Khorasan
4,2013,30.4,120.1,Durum
5,2013,57.8,118.9,Emmer
6,2013,219.8,121.9,Khorasan
7,2013,310,122.3,Durum
8,2013,254.7,123.1,Einkorn
9,2013,152.7,124.6,Khorasan
10,2013,129.4,125.7,Durum
11,2013,14,127.6,Durum
12,2013,6.7,128.6,Durum
1,2014,19.2,130,Durum
2,2014,27.4,128.8,Durum
3,2014,36.1,127.5,Durum
4,2014,22.2,123.5,Durum
5,2014,72.9,120.9,Durum
6,2014,95.4,120.4,Durum
7,2014,261.2,121.9,Emmer
8,2014,237.5,122.5,Emmer
9,2014,188,121.8,Einkorn
10,2014,60.2,122.3,Emmer
11,2014,14.4,123.7,Emmer
12,2014,10.7,125.8,Einkorn
1,2015,17.4,126.3,Einkorn
2,2015,21,125.9,Einkorn
3,2015,62,125.9,Einkorn
4,2015,69.4,125.1,Einkorn
5,2015,53.8,124.1,Einkorn
6,2015,192.8,122.3,Einkorn
7,2015,242.4,124.8,Einkorn
8,2015,205.2,126.1,Khorasan
9,2015,131.8,126.2,Emmer
10,2015,42.9,128.5,Khorasan
11,2015,39.4,129.9,Emmer
12,2015,15,131.9,Khorasan
1,2016,19.3,134.1,Durum
2,2016,22.8,134.1,Durum
3,2016,27.6,134.1,Durum
4,2016,37.4,132.9,Durum
5,2016,62.6,134.5,Durum
6,2016,168.3,136.5,Durum
7,2016,289.1,137.9,Durum
8,2016,256.3,139.1,Durum
9,2016,171.9,140,Durum
10,2016,76.1,140.8,Durum
11,2016,29.7,147.9,Khorasan
12,2016,14.9,152.3,Khorasan
1,2017,19,151.3,Emmer
2,2017,22.6,149.3,Emmer
3,2017,27.8,142.9,Emmer
4,2017,37.9,141,Khorasan
5,2017,62.4,137.5,Khorasan
6,2017,168.1,136.1,Einkorn
7,2017,289.3,136.3,Khorasan
8,2017,256.2,137.1,Khorasan
9,2017,171.5,137.6,Emmer
10,2017,76.3,138,Khorasan
11,2017,29.9,139.4,Durum
12,2017,15,139.4,Durum
1,2018,19.2,140.8,Durum
2,2018,20.1,140,Durum
3,2018,27.1,141.2,Durum
4,2018,40.2,140.9,Durum
5,2018,62.7,141.7,Durum
6,2018,165,143.1,Einkorn
7,2018,286.3,145,Einkorn
8,2018,254.3,148.6,Einkorn
9,2018,171.9,149.8,Einkorn
10,2018,77.2,151.1,Emmer
11,2018,28.1,152.2,Khorasan
12,2018,14.1,152.8,Khorasan
1,2019,11.5,142,Khorasan
2,2019,40.2,145.6,Emmer
3,2019,15.6,143.1,Khorasan
4,2019,47.5,148.3,Durum
5,2019,32.7,147.2,Durum
6,2019,117.8,146.8,Emmer
7,2019,250.2,146.2,Khorasan
8,2019,262.4,147.6,Durum
9,2019,193.5,148.7,Durum
10,2019,58.7,149.3,Durum
11,2019,30.7,150.1,Durum
12,2019,11.7,150,Durum
1,2020,11.3,149,Durum
2,2020,40.2,152.3,Durum
3,2020,15.7,149.4,Einkorn
4,2020,47.5,151.1,Einkorn
5,2020,31.7,153.4,Einkorn
6,2020,117.8,150.7,Einkorn
7,2020,250.2,152.5,Emmer
8,2020,262.4,151.2,Khorasan
9,2020,193.5,153.8,Khorasan
10,2020,58.7,155.9,Emmer
11,2020,32.7,156,Emmer
12,2020,11.7,154.3,Khorasan
1,2021,12.3,155.9,Khorasan
2,2021,42.1,159.5,Einkorn
3,2021,16.7,156.1,Khorasan
4,2021,47.5,157.9,Khorasan
5,2021,32.7,152.7,Emmer
6,2021,117.8,158.2,Khorasan
7,2021,250.2,157.5,Emmer
8,2021,262.4,158.1,Khorasan
9,2021,193.5,157.2,Durum
10,2021,58.7,159.5,Durum
11,2021,30.8,158.3,Durum
12,2021,11.7,159.9,Durum
1,2022,11.3,160.9,Durum
2,2022,40.1,161.6,Durum
3,2022,15.7,163.4,Khorasan
4,2022,47.5,164.3,Durum
5,2022,31.7,159.4,Durum
6,2022,117.8,163.7,Durum
7,2022,250.2,163.4,Durum
8,2022,262.4,167.5,Durum
9,2022,193.5,163.8,Einkorn
10,2022,58.7,167.9,Einkorn
11,2022,30.7,165.1,Einkorn
12,2022,11.7,167.6,Einkorn
1,2023,11.3,168.1,Emmer
2,2023,40.1,167.3,Khorasan
3,2023,15.7,164.9,Khorasan
4,2023,47.5,167.2,Khorasan
5,2023,31.7,168.5,Emmer
6,2023,117.8,166.5,Khorasan
7,2023,250.2,167.4,Durum
8,2023,262.4,170.1,Durum
9,2023,193.5,171.8,Khorasan
