Month,Year,Rainfall,WPI,Variety
10,2004,95,107.6,west coast
11,2004,17.9,115.4,Goodanjali
12,2004,2.8,118.8,Banolium
1,2005,28.1,95.5,west coast
2,2005,41.8,81.5,East coast
3,2005,42.5,82.5,Banolium
4,2005,37.7,83.2,Goodanjali
5,2005,46.1,78.7,west coast
6,2005,143.2,84.5,Goodanjali
7,2005,334.1,86.3,Banolium
8,2005,190.1,97.7,Goodanjali
9,2005,206.9,98.8,Goodanjali
10,2005,99.3,105.6,west coast
11,2005,27.2,114.4,Goodanjali
12,2005,11.2,115.8,Banolium
1,2006,17.7,86.5,west coast
2,2006,11.9,86.5,East coast
3,2006,35.6,87.5,Banolium
4,2006,32.7,80.2,Goodanjali
5,2006,75,78.7,west coast
6,2006,141.8,87.9,Goodanjali
7,2006,287.6,89.3,Banolium
8,2006,281.3,92.7,Goodanjali
9,2006,178.6,95.8,Goodanjali
10,2006,51.8,109.6,Banolium
11,2006,34.6,115.4,Goodanjali
12,2006,13.1,114.8,Banolium
1,2007,1.7,90.5,west coast
2,2007,36.7,83.5,East coast
3,2007,35.2,82.5,Banolium
4,2007,30.6,85.2,Goodanjali
5,2007,46.8,81.7,west coast
6,2007,192.5,87.5,Goodanjali
7,2007,286.2,86.3,Banolium
8,2007,257.4,92.7,Goodanjali
9,2007,206.8,98.8,Goodanjali
10,2007,55.7,108.6,west coast
11,2007,14.4,116.4,Goodanjali
12,2007,15.3,114.8,Banolium
1,2008,18.4,81.5,west coast
2,2008,19.3,83.5,East coast
3,2008,41.2,82.5,Banolium
4,2008,29.5,87.2,Goodanjali
5,2008,43.7,80.7,west coast
6,2008,202,89.5,Goodanjali
7,2008,245,90.3,Banolium
8,2008,265.8,99.7,Goodanjali
9,2008,165.1,98.8,Goodanjali
10,2008,51.6,112.6,west coast
11,2008,25.5,116.4,Goodanjali
12,2008,11,114.8,Banolium
1,2009,12,88.5,west coast
2,2009,12,81.5,East coast
3,2009,14.2,82.5,Banolium
4,2009,25.1,83.2,Goodanjali
5,2009,56,73.7,west coast
6,2009,85.7,84.5,Goodanjali
7,2009,280.7,87.3,Banolium
8,2009,192.5,93.7,Goodanjali
9,2009,139.4,92.8,Goodanjali
10,2009,71.4,110.6,west coast
11,2009,53.7,114.4,Goodanjali
12,2009,11.1,115.8,Banolium
1,2010,7.5,88.5,west coast
2,2010,17,83.5,East coast
3,2010,14,85.5,Banolium
4,2010,39,89.2,Goodanjali
5,2010,73.8,78.7,west coast
6,2010,138.1,89.5,Goodanjali
7,2010,300.7,89.3,Banolium
8,2010,274.7,93.7,Goodanjali
9,2010,197.7,95.8,Goodanjali
10,2010,69,110.6,west coast
11,2010,61.4,111.4,Goodanjali
12,2010,22.7,114.8,Banolium
1,2011,6.8,85.9,west coast
2,2011,25.8,82.8,East coast
3,2011,22.4,81.9,Banolium
4,2011,41.1,81.6,Goodanjali
5,2011,53.1,79.8,west coast
6,2011,183.5,83.6,Goodanjali
7,2011,246,85.4,Banolium
8,2011,284.9,91.8,Goodanjali
9,2011,186.9,94.1,Goodanjali
10,2011,38.1,110.6,west coast
11,2011,20.1,109.4,Goodanjali
12,2011,7.6,107.8,Banolium
1,2012,26.5,86.5,west coast
2,2012,12.7,88.5,East coast
3,2012,11.3,89.5,Banolium
4,2012,47.5,89.2,Goodanjali
5,2012,31.7,78.7,west coast
6,2012,117.8,87.5,Goodanjali
7,2012,250.2,86.3,Banolium
8,2012,262.4,92.7,Goodanjali
9,2012,193.5,96.8,Goodanjali
10,2012,58.7,107.6,west coast
11,2012,30.7,115.4,Goodanjali
12,2012,11.7,114.8,Banolium
1,2013,11.3,83.5,west coast
2,2013,40.1,81.5,East coast
3,2013,15.7,83.5,Banolium
4,2013,30.4,88.2,Goodanjali
5,2013,57.8,76.7,west coast
6,2013,219.8,85.5,Goodanjali
7,2013,310,89.3,Banolium
8,2013,254.7,92.7,Goodanjali
9,2013,152.7,95.8,Goodanjali
10,2013,129.4,107.6,west coast
11,2013,14,114.4,Goodanjali
12,2013,6.7,115.8,Banolium
1,2014,19.2,83.5,west coast
2,2014,27.4,82.5,East coast
3,2014,36.1,80.5,Banolium
4,2014,22.2,87.2,Goodanjali
5,2014,72.9,76.7,west coast
6,2014,95.4,88.5,Goodanjali
7,2014,261.2,87.3,Banolium
8,2014,237.5,99.7,Goodanjali
9,2014,188,96.8,Goodanjali
10,2014,60.2,110.6,west coast
11,2014,14.4,114.4,Goodanjali
12,2014,10.7,111.8,Banolium
1,2015,17.4,86.5,west coast
2,2015,21,83.5,East coast
3,2015,62,87.5,Banolium
4,2015,69.4,87.2,Goodanjali
5,2015,53.8,75.7,west coast
6,2015,192.8,88.5,Goodanjali
7,2015,242.4,89.3,Banolium
8,2015,205.2,99.7,Goodanjali
9,2015,131.8,94.8,Goodanjali
10,2015,42.9,111.6,west coast
11,2015,39.4,109.4,Goodanjali
12,2015,15,107.8,Banolium
1,2016,19.3,85.1,west coast
2,2016,22.8,82.9,East coast
3,2016,27.6,81.9,Banolium
4,2016,37.4,81.8,Goodanjali
5,2016,62.6,79.6,west coast
6,2016,168.3,83.6,Goodanjali
7,2016,289.1,85.2,Banolium
8,2016,256.3,91.9,Goodanjali
9,2016,171.9,94.9,Goodanjali
10,2016,76.1,109.9,west coast
11,2016,29.7,112.9,Goodanjali
12,2016,14.9,112.7,Banolium
1,2017,19,83.5,west coast
2,2017,22.6,82.5,East coast
3,2017,27.8,89.5,Banolium
4,2017,37.9,88.2,Goodanjali
5,2017,62.4,79.7,west coast
6,2017,168.1,84.5,Goodanjali
7,2017,289.3,86.3,Banolium
8,2017,256.2,96.7,Goodanjali
9,2017,171.5,94.8,Goodanjali
10,2017,76.3,108.6,west coast
11,2017,29.9,116.4,Goodanjali
12,2017,15,115.8,Banolium
1,2018,19.2,84.5,west coast
2,2018,20.1,83.5,East coast
3,2018,27.1,82.5,Banolium
4,2018,40.2,80.2,Goodanjali
5,2018,62.7,72.7,west coast
6,2018,165,87.5,Goodanjali
7,2018,286.3,85.3,Banolium
8,2018,254.3,91.7,Goodanjali
9,2018,171.9,95.8,Goodanjali
10,2018,77.2,110.6,west coast
11,2018,28.1,112.7,Goodanjali
12,2018,14.1,112.7,Banolium
1,2019,11.5,90.5,west coast
2,2019,40.2,87.5,East coast
3,2019,15.6,88.5,Banolium
4,2019,47.5,88.2,Goodanjali
5,2019,32.7,71.7,west coast
6,2019,117.8,88.5,Goodanjali
7,2019,250.2,86.3,Banolium
8,2019,262.4,93.7,Goodanjali
9,2019,193.5,96.8,Goodanjali
10,2019,58.7,106.8,west coast
11,2019,30.7,116.4,Goodanjali
12,2019,11.7,114.8,Banolium
1,2020,11.3,80.5,west coast
2,2020,40.2,80.7,East coast
3,2020,15.7,89.5,Banolium
4,2020,47.5,87.2,Goodanjali
5,2020,31.7,79.7,west coast
6,2020,117.8,81.5,Goodanjali
7,2020,250.2,86.7,Banolium
8,2020,262.4,89.7,Goodanjali
9,2020,193.5,95.8,Goodanjali
10,2020,58.7,111.6,west coast
11,2020,32.7,109.4,Goodanjali
12,2020,11.7,117.8,Banolium
1,2021,12.3,81.5,west coast
2,2021,42.1,82.5,East coast
3,2021,16.7,83.5,Banolium
4,2021,47.5,85.2,Goodanjali
5,2021,32.7,76.7,west coast
6,2021,117.8,87.5,Goodanjali
7,2021,250.2,89.3,Banolium
8,2021,262.4,98.7,Goodanjali
9,2021,193.5,99.8,Goodanjali
10,2021,58.7,112.6,west coast
11,2021,30.8,113.4,Goodanjali
12,2021,11.7,114.8,Banolium
1,2022,11.3,81.5,west coast
2,2022,40.1,85.5,East coast
3,2022,15.7,83.5,Banolium
4,2022,47.5,84.2,Goodanjali
5,2022,31.7,79.7,west coast
6,2022,117.8,84.5,Goodanjali
7,2022,250.2,86.3,Banolium
8,2022,262.4,99.7,Goodanjali
9,2022,193.5,97.8,Goodanjali
10,2022,58.7,107.6,west coast
11,2022,30.7,119.4,Goodanjali
12,2022,11.7,117.8,Banolium
1,2023,11.3,79.5,west coast
2,2023,40.1,78.5,East coast
3,2023,15.7,89.5,Banolium
4,2023,47.5,87.2,Goodanjali
5,2023,31.7,76.7,west coast
6,2023,117.8,87.5,Goodanjali
7,2023,250.2,88.3,Banolium
8,2023,262.4,97.7,Goodanjali
9,2023,193.5,98.8,Goodanjali
