Month,Year,Rainfall,WPI,Variety
4,2007,30.6,102.5,Gossypium arboreum
5,2007,46.8,105.5,Hybrid cotton
6,2007,192.5,106.5,Gossypium herbaceum
7,2007,286.2,110.5,Gossypium arboreum
8,2007,257.4,115.8,Gossypium hirsutum
9,2007,206.8,112.8,Gossypium herbaceum
10,2007,55.7,114.5,Gossypium barbadense
11,2007,14.4,112.9,Gossypium arboreum
12,2007,15.3,112.8,Gossypium hirsutum
1,2008,18.4,107.5,Gossypium herbaceum
2,2008,19.3,106.8,Gossypium hirsutum
3,2008,41.2,112.9,Gossypium barbadense
4,2008,29.5,101.8,Gossypium arboreum
5,2008,43.7,101.7,Hybrid cotton
6,2008,202,102.8,Gossypium herbaceum
7,2008,245,110.6,Gossypium arboreum
8,2008,265.8,116.7,Gossypium hirsutum
9,2008,165.1,112.7,Gossypium herbaceum
10,2008,51.6,113.7,Gossypium barbadense
11,2008,25.5,111.8,Gossypium arboreum
12,2008,11,115.8,Gossypium hirsutum
1,2009,12,106.5,Gossypium herbaceum
2,2009,12,107.1,Gossypium hirsutum
3,2009,14.2,112.8,Gossypium barbadense
4,2009,25.1,101.9,Gossypium arboreum
5,2009,56,101.8,Hybrid cotton
6,2009,85.7,103.5,Gossypium herbaceum
7,2009,280.7,112.7,Gossypium arboreum
8,2009,192.5,115.7,Gossypium hirsutum
9,2009,139.4,112.6,Gossypium herbaceum
10,2009,71.4,114.9,Gossypium barbadense
11,2009,53.7,111.8,Gossypium arboreum
12,2009,11.1,110.9,Gossypium hirsutum
1,2010,7.5,107.5,Gossypium herbaceum
2,2010,17,108.1,Gossypium hirsutum
3,2010,14,112.8,Gossypium barbadense
4,2010,39,102.2,Gossypium arboreum
5,2010,73.8,103.5,Hybrid cotton
6,2010,138.1,103.5,Gossypium herbaceum
7,2010,300.7,113.7,Gossypium arboreum
8,2010,274.7,116.7,Gossypium hirsutum
9,2010,197.7,112.7,Gossypium herbaceum
10,2010,69,114.8,Gossypium barbadense
11,2010,61.4,111.7,Gossypium arboreum
12,2010,22.7,115.8,Gossypium hirsutum
1,2011,6.8,106.6,Gossypium herbaceum
2,2011,25.8,105.1,Gossypium hirsutum
3,2011,22.4,115.8,Gossypium barbadense
4,2011,41.1,102.2,Gossypium arboreum
5,2011,53.1,103.5,Hybrid cotton
6,2011,183.5,104.5,Gossypium herbaceum
7,2011,246,112.3,Gossypium arboreum
8,2011,284.9,115.4,Gossypium hirsutum
9,2011,186.9,112.7,Gossypium herbaceum
10,2011,38.1,114.8,Gossypium barbadense
11,2011,20.1,111.7,Gossypium arboreum
12,2011,7.6,110.9,Gossypium hirsutum
1,2012,26.5,107.5,Gossypium herbaceum
2,2012,12.7,105.1,Gossypium hirsutum
3,2012,11.3,115.8,Gossypium barbadense
4,2012,47.5,104.2,Gossypium arboreum
5,2012,31.7,106.5,Hybrid cotton
6,2012,117.8,104.5,Gossypium herbaceum
7,2012,250.2,109.7,Gossypium arboreum
8,2012,262.4,115.1,Gossypium hirsutum
9,2012,193.5,112.5,Gossypium herbaceum
10,2012,58.7,114.6,Gossypium barbadense
11,2012,30.7,112.9,Gossypium arboreum
12,2012,11.7,110.7,Gossypium hirsutum
1,2013,11.3,106.7,Gossypium herbaceum
2,2013,40.1,108.1,Gossypium hirsutum
3,2013,15.7,119.8,Gossypium barbadense
4,2013,30.4,108.2,Gossypium arboreum
5,2013,57.8,102.5,Hybrid cotton
6,2013,219.8,103.6,Gossypium herbaceum
7,2013,310,110.8,Gossypium arboreum
8,2013,254.7,115.8,Gossypium hirsutum
9,2013,152.7,112.5,Gossypium herbaceum
10,2013,129.4,114.9,Gossypium barbadense
11,2013,14,111.2,Gossypium arboreum
12,2013,6.7,110.9,Gossypium hirsutum
1,2014,19.2,107.5,Gossypium herbaceum
2,2014,27.4,104.1,Gossypium hirsutum
3,2014,36.1,112.8,Gossypium barbadense
4,2014,22.2,103.2,Gossypium arboreum
5,2014,72.9,102.5,Hybrid cotton
6,2014,95.4,104.5,Gossypium herbaceum
7,2014,261.2,110.8,Gossypium arboreum
8,2014,237.5,115.9,Gossypium hirsutum
9,2014,188,112.5,Gossypium herbaceum
10,2014,60.2,114.4,Gossypium barbadense
11,2014,14.4,110.9,Gossypium arboreum
12,2014,10.7,112.8,Gossypium hirsutum
1,2015,17.4,107.5,Gossypium herbaceum
2,2015,21,108.1,Gossypium hirsutum
3,2015,62,115.8,Gossypium barbadense
4,2015,69.4,102.2,Gossypium arboreum
5,2015,53.8,103.5,Hybrid cotton
6,2015,192.8,101.5,Gossypium herbaceum
7,2015,242.4,113.7,Gossypium arboreum
8,2015,205.2,115.4,Gossypium hirsutum
9,2015,131.8,112.5,Gossypium herbaceum
10,2015,42.9,114.8,Gossypium barbadense
11,2015,39.4,114.9,Gossypium arboreum
12,2015,15,115.8,Gossypium hirsutum
1,2016,19.3,105.5,Gossypium herbaceum
2,2016,22.8,108.1,Gossypium hirsutum
3,2016,27.6,114.8,Gossypium barbadense
4,2016,37.4,103.2,Gossypium arboreum
5,2016,62.6,101.5,Hybrid cotton
6,2016,168.3,102.7,Gossypium herbaceum
7,2016,289.1,110.9,Gossypium arboreum
8,2016,256.3,115.9,Gossypium hirsutum
9,2016,171.9,112.5,Gossypium herbaceum
10,2016,76.1,114.7,Gossypium barbadense
11,2016,29.7,111.8,Gossypium arboreum
12,2016,14.9,112.8,Gossypium hirsutum
1,2017,19,106.8,Gossypium herbaceum
2,2017,22.6,106.2,Gossypium hirsutum
3,2017,27.8,114.8,Gossypium barbadense
4,2017,37.9,103.2,Gossypium arboreum
5,2017,62.4,104.5,Hybrid cotton
6,2017,168.1,107.5,Gossypium herbaceum
7,2017,289.3,112.7,Gossypium arboreum
8,2017,256.2,117.1,Gossypium hirsutum
9,2017,171.5,112.5,Gossypium herbaceum
10,2017,76.3,114.2,Gossypium barbadense
11,2017,29.9,112.9,Gossypium arboreum
12,2017,15,113.8,Gossypium hirsutum
1,2018,19.2,106.5,Gossypium herbaceum
2,2018,20.1,106.1,Gossypium hirsutum
3,2018,27.1,112.8,Gossypium barbadense
4,2018,40.2,101.2,Gossypium arboreum
5,2018,62.7,101.5,Hybrid cotton
6,2018,165,102.5,Gossypium herbaceum
7,2018,286.3,110.7,Gossypium arboreum
8,2018,254.3,115.8,Gossypium hirsutum
9,2018,171.9,112.5,Gossypium herbaceum
10,2018,77.2,114.2,Gossypium barbadense
11,2018,28.1,111.9,Gossypium arboreum
12,2018,14.1,110.8,Gossypium hirsutum
1,2019,11.5,107.5,Gossypium herbaceum
2,2019,40.2,106.5,Gossypium hirsutum
3,2019,15.6,112.9,Gossypium barbadense
4,2019,47.5,101.3,Gossypium arboreum
5,2019,32.7,101.5,Hybrid cotton
6,2019,117.8,105.5,Gossypium herbaceum
7,2019,250.2,113.7,Gossypium arboreum
8,2019,262.4,115.8,Gossypium hirsutum
9,2019,193.5,112.5,Gossypium herbaceum
10,2019,58.7,114.1,Gossypium barbadense
11,2019,30.7,111.9,Gossypium arboreum
12,2019,11.7,112.8,Gossypium hirsutum
1,2020,11.3,106.5,Gossypium herbaceum
2,2020,40.2,107.1,Gossypium hirsutum
3,2020,15.7,113.8,Gossypium barbadense
4,2020,47.5,105.2,Gossypium arboreum
5,2020,31.7,106.5,Hybrid cotton
6,2020,117.8,107.5,Gossypium herbaceum
7,2020,250.2,110.7,Gossypium arboreum
8,2020,262.4,115.7,Gossypium hirsutum
9,2020,193.5,112.5,Gossypium herbaceum
10,2020,58.7,114.8,Gossypium barbadense
11,2020,32.7,113.9,Gossypium arboreum
12,2020,11.7,112.8,Gossypium hirsutum
1,2021,12.3,107.5,Gossypium herbaceum
2,2021,42.1,108.1,Gossypium hirsutum
3,2021,16.7,113.8,Gossypium barbadense
4,2021,47.5,103.2,Gossypium arboreum
5,2021,32.7,102.5,Hybrid cotton
6,2021,117.8,104.5,Gossypium herbaceum
7,2021,250.2,112.7,Gossypium arboreum
8,2021,262.4,115.2,Gossypium hirsutum
9,2021,193.5,112.5,Gossypium herbaceum
10,2021,58.7,114.2,Gossypium barbadense
11,2021,30.8,111.9,Gossypium arboreum
12,2021,11.7,116.8,Gossypium hirsutum
1,2022,11.3,104.5,Gossypium herbaceum
2,2022,40.1,104.1,Gossypium hirsutum
3,2022,15.7,114.8,Gossypium barbadense
4,2022,47.5,103.2,Gossypium arboreum
5,2022,31.7,101.5,Hybrid cotton
6,2022,117.8,102.5,Gossypium herbaceum
7,2022,250.2,112.7,Gossypium arboreum
8,2022,262.4,117.2,Gossypium hirsutum
9,2022,193.5,112.5,Gossypium herbaceum
10,2022,58.7,113.9,Gossypium barbadense
11,2022,30.7,111.9,Gossypium arboreum
12,2022,11.7,112.8,Gossypium hirsutum
1,2023,11.3,106.5,Gossypium herbaceum
2,2023,40.1,107.1,Gossypium hirsutum
3,2023,15.7,117.8,Gossypium barbadense
4,2023,47.5,102.2,Gossypium arboreum
5,2023,31.7,108.5,Hybrid cotton
6,2023,117.8,103.5,Gossypium herbaceum
7,2023,250.2,117.7,Gossypium arboreum
8,2023,262.4,115.8,Gossypium hirsutum
9,2023,193.5,112.5,Gossypium herbaceum
